charge240,city08U,cityE,co2A,comb08U,combE,cylinders,displ,drive,engId,feScore,fuelCost08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,mpgData,range,rangeCity,rangeHwy,trany,UCity,UHighway,VClass,year,youSaveSpend,charge240b,createdOn,modifiedOn
8.0,61.9,55.0,-1,62.0,54.0,,,Front-Wheel Drive,1,-1,1050,Electricity,Electricity,-1,-1,62,62.0,54.0,0,0,31893,0,0,Azure Dynamics,Transit Connect Electric Van,N,56,56.7812,55.6759,Automatic,88.4,88.6,Special Purpose Vehicle 2WD,2012,1500,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
8.0,61.9,55.0,-1,62.0,54.0,,,Front-Wheel Drive,2,-1,1050,Electricity,Electricity,-1,-1,62,62.0,54.0,0,0,31894,0,0,Azure Dynamics,Transit Connect Electric Wagon,N,56,56.7812,55.6759,Automatic,88.4,88.6,Special Purpose Vehicle 2WD,2012,1500,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
5.0,106.733,32.0,-1,101.822,33.0,,,Rear-Wheel Drive,100,-1,650,Electricity,Electricity,-1,-1,96,96.4011,35.0,0,0,32276,6,0,BMW,Active E,N,94,0.0,0.0,Automatic,152.4758,137.7159,Subcompact Cars,2011,3500,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
6.0,77.2,44.0,-1,72.7,46.0,,,Front-Wheel Drive,1,-1,900,Electricity,Electricity,-1,-1,68,67.9,50.0,0,0,32277,0,14,CODA Automotive,CODA,N,88,93.555,93.555,Automatic,110.3,97.0,Subcompact Cars,2012,2250,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
4.0,110.048,31.0,-1,104.758,32.0,,,Front-Wheel Drive,300,-1,600,Electricity,Electricity,-1,-1,99,98.9461,34.0,14,90,32278,0,0,Ford,Focus Electric,N,76,79.7573,71.5259,Automatic,157.2,141.4,Compact Cars,2012,3750,0.0,Tue Jan 01 00:00:00 EST 2013,Tue Sep 30 00:00:00 EDT 2014
12.0,87.9,38.0,-1,88.8,38.0,,,Rear-Wheel Drive,1,-1,750,Electricity,Electricity,-1,-1,90,90.1,37.0,26,94,32557,0,0,Tesla,Model S,Y,265,262.69,266.78,Automatic,110.4,113.2,Large Cars,2012,3000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
4.0,131.8861,26.0,-1,118.142,29.0,,,Front-Wheel Drive,6,10,550,Electricity,Electricity,10,-1,105,104.7943,32.0,0,0,33265,0,21,Honda,Fit EV,N,82,89.81,73.56,Automatic,188.4087,149.7062,Small Station Wagons,2013,4000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
6.0,121.66,28.0,-1,106.9856,32.0,,,Rear-Wheel Drive,705,10,600,Electricity,Electricity,10,-1,93,93.24,36.0,0,0,33305,0,0,smart,fortwo electric drive convertible,N,68,75.81,59.09,Automatic,173.8,133.2,Two Seaters,2013,3750,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
4.0,138.304,24.0,-1,120.913,28.0,,,Front-Wheel Drive,21,10,550,Electricity,Electricity,10,-1,105,104.8056,32.0,4,73,33307,0,0,Scion,iQ EV,N,38,42.4,31.62,Automatic,197.5771,149.7223,Minicompact Cars,2013,4000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
10.0,94.4,36.0,-1,95.4,35.0,,,Rear-Wheel Drive,2,10,700,Electricity,Electricity,10,-1,97,96.7,35.0,26,94,33367,0,0,Tesla,Model S (60 kW-hr battery pack),N,208,205.7,210.7,Automatic,118.6,121.5,Large Cars,2013,3250,3.75,Tue Jan 01 00:00:00 EST 2013,Thu Nov 20 00:00:00 EST 2014
12.0,87.9,38.0,-1,88.8,38.0,,,Rear-Wheel Drive,1,10,750,Electricity,Electricity,10,-1,90,90.1,37.0,26,94,33368,0,0,Tesla,Model S (85 kW-hr battery pack),Y,265,262.7,266.8,Automatic,110.4,113.2,Large Cars,2013,3000,4.75,Tue Jan 01 00:00:00 EST 2013,Thu Nov 20 00:00:00 EST 2014
6.0,60.1785,56.0,-1,61.9394,54.0,,,Front-Wheel Drive,1,-1,1050,Electricity,Electricity,-1,-1,64,64.2368,52.0,0,0,33383,0,0,BYD,e6,N,122,120.1,124.8,Automatic,85.9694,91.7668,Sport Utility Vehicle - 2WD,2012,1500,0.0,Tue Jan 01 00:00:00 EST 2013,Wed Apr 16 00:00:00 EDT 2014
4.0,122.4,28.0,-1,115.974,29.0,,,Front-Wheel Drive,738,10,550,Electricity,Electricity,10,-1,108,108.1,31.0,7,76,33396,0,0,Fiat,500e,N,87,91.84,81.48,Automatic,174.8555,154.4591,Minicompact Cars,2013,4000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
