fuelType,model,make,createdOn
Premium,XM v6 Break,CX Automotive,Tue Jan 01 00:00:00 EST 2013
Regular,Escort Wagon,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Accord Wagon,Honda,Tue Jan 01 00:00:00 EST 2013
Regular,Tracer Wagon,Mercury,Tue Jan 01 00:00:00 EST 2013
Regular,SW,Saturn,Tue Jan 01 00:00:00 EST 2013
Regular,Legacy Wagon,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Legacy Wagon AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Premium,Legacy Wagon AWD Turbo,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Loyale Wagon,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Corolla Wagon,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Century Wagon,Buick,Tue Jan 01 00:00:00 EST 2013
Regular,Summit Wagon,Eagle,Tue Jan 01 00:00:00 EST 2013
Regular,Taurus Wagon,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Sable Wagon,Mercury,Tue Jan 01 00:00:00 EST 2013
Regular,Expo,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Expo.LRV,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Cutlass Cruiser,Oldsmobile,Tue Jan 01 00:00:00 EST 2013
Diesel,G15/25 Rally 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Diamante Wagon,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Colt Vista,Plymouth,Tue Jan 01 00:00:00 EST 2013
Regular,Camry Wagon,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Passat Wagon,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,240 Wagon,Volvo,Tue Jan 01 00:00:00 EST 2013
Regular,940 Wagon,Volvo,Tue Jan 01 00:00:00 EST 2013
Regular,G35 Rally 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,960 Wagon,Volvo,Tue Jan 01 00:00:00 EST 2013
Regular,Roadmaster Wagon,Buick,Tue Jan 01 00:00:00 EST 2013
Regular,Caprice Wagon,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,S10 Pickup 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Safari 2WD (passenger),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Truck 2WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Ram 50 Pickup 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Sonoma 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Sonoma 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Pickup 2WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,Truck 2WD,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,C1500 Pickup 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Pickup 2500 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Dakota Pickup 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,D100/D150 Pickup 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,D250 Pickup 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Comanche Pickup 4WD,Jeep,Tue Jan 01 00:00:00 EST 2013
Regular,F150 Pickup 2WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Van 2WD,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,F250 Pickup 2WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Ranger Pickup 2WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Sierra 1500 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Colt,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Vanagon 2WD,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,Sierra 2500 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,B2200/B2600i,Mazda,Tue Jan 01 00:00:00 EST 2013
Regular,T100 2WD,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Post Office DJ5 2WD,AM General,Tue Jan 01 00:00:00 EST 2013
Regular,K1500 Pickup 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Post Office DJ8 2WD,AM General,Tue Jan 01 00:00:00 EST 2013
Diesel,K1500 Pickup 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Pickup 2500 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Suburban C10 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Diesel,Pickup 2500 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,S10 Pickup 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Truck 4WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Dakota Pickup 4WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Power Ram 50 4WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,W100/W150 Pickup 4WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,W250 Pickup 4WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Diesel,Suburban C10 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Comanche Pickup 2WD,Jeep,Tue Jan 01 00:00:00 EST 2013
Regular,F150 Pickup 4WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,S10 Blazer 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Ranger Pickup 4WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Sierra 1500 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Diesel,Sierra 1500 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Sierra 2500 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Diesel,Sierra 2500 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Sonoma 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Sonoma 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Pickup 4WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,Truck 4WD,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,B2600i 4x4,Mazda,Tue Jan 01 00:00:00 EST 2013
Regular,Truck 4WD/T100 4WD,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,Astro AWD (cargo),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Astro 2WD (cargo),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Astro 2WD (cargo),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,G10/20 Van 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,G30 Van 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,B150/B250 Van 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,B350 Van 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Aerostar Van,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,AD100/AD150 Ramcharger 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Aerostar Van AWD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,E150 Econoline 2WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,E250 Econoline 2WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Vandura G15/25 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Vandura G35 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Safari AWD (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Safari 2WD (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Safari 2WD (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Astro AWD (passenger),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Astro 2WD (passenger),Chevrolet,Tue Jan 01 00:00:00 EST 2013
